,player_name,club_involved_name,season,age,fee_cleaned,LR,BWKNN,RF,GB,NN,LRstack,NNstack,SimpleAvg,LRdelta,BWKNNdelta,RFdelta,GBdelta,NNdelta
728,Stephan El Shaarawy,AS Roma,2016/2017,-1.0732465268521263,11.7,21.17459030681494,13.743333333333334,19.00403666666668,16.725398199137526,20.131271073521983,20.094477561179737,20.554373436150406,18.15572591589489,9.474590306814944,2.043333333333335,7.304036666666683,5.025398199137523,8.431271073521984
729,Johan Djourou,Hamburger SV,2014/2015,-0.0968446491592604,2.52,11.57064123640581,3.8643333333333336,5.268936666666665,2.3369379707138678,4.622064168971466,5.161383260430702,4.122467423042658,5.5325826752182286,9.050641236405813,1.3443333333333336,2.748936666666665,-0.1830620292861327,2.1020641689714656
730,Julian Chabot,UC Sampdoria,2019/2020,-1.5614474656985595,3.33,7.657326394636391,5.878666666666668,11.2079,7.679557265341248,8.429539653882237,7.952122684147316,7.738357941324828,8.17059799610531,4.327326394636391,2.548666666666666,7.8779,4.3495572653412475,5.099539653882237
731,Rickie Lambert,Cardiff City,2016/2017,1.6118586368032553,1.8,1.9208136469169288,3.4776666666666665,7.86120666666667,8.854903591151382,1.6955546500439511,2.2490770360509824,2.966987269149009,4.76202904428912,0.12081364691692875,1.6776666666666664,6.06120666666667,7.054903591151383,-0.10444534995604893
732,Zakaria Labyad,Ajax Amsterdam,2018/2019,-0.5850455880056934,5.4,13.808744651924968,9.666,7.590583333333334,6.87715951078833,3.7584175421720754,7.474287040815423,7.243884990902814,8.340181007643741,8.408744651924968,4.266,2.190583333333333,1.4771595107883293,-1.641582457827925
733,Matteo Darmian,Manchester United,2015/2016,-0.5850455880056934,16.2,7.1782599916230705,3.9154,4.308583333333333,7.042129958468378,6.983259874836524,5.72129635618329,6.253995050792002,5.8855266316522625,-9.02174000837693,-12.2846,-11.891416666666665,-9.157870041531623,-9.216740125163476
734,Ayoze Pérez,Leicester City,2019/2020,-0.5850455880056934,30.06,15.700701828341286,16.242,15.097833333333346,14.530982123408213,12.454146061412196,15.665482503073358,16.639954272836654,14.80513266929901,-14.359298171658715,-13.817999999999998,-14.962166666666652,-15.529017876591785,-17.605853938587803
735,Nicolas Pépé,Arsenal FC,2019/2020,-0.8291460574289099,72.0,30.325498700183722,22.428000000000004,27.50819999999999,24.167229094141327,44.947447734753936,38.94534874837839,40.11921245133744,29.875275105815795,-41.67450129981628,-49.572,-44.49180000000001,-47.832770905858666,-27.052552265246067
736,Luis Pedro Cavanda,Tom Tomsk,2015/2016,-0.8291460574289099,1.58,10.395408561380608,7.745999999999999,8.543386666666661,6.721293940642178,8.54291957233575,8.87909872834759,9.280284459434409,8.38980174820504,8.815408561380607,6.166,6.963386666666661,5.141293940642178,6.96291957233575
737,Philipp Wollscheid,Stoke City,2015/2016,-0.3409451185824769,3.42,3.408398305586087,2.0256,6.004486666666665,4.218310548853471,3.2026511780675464,2.5272548224134104,2.6306888213409225,3.771889339834754,-0.011601694413912787,-1.3944,2.584486666666665,0.798310548853471,-0.21734882193245356
738,Max Lowe,US Sassuolo,2020/2021,-1.0732465268521263,3.47,9.810487597101863,7.545333333333334,10.653040000000004,4.7006091302701085,1.5390612836297428,5.1300025303769035,6.216700442715949,6.8497062688670125,6.3404875971018635,4.075333333333333,7.183040000000004,1.2306091302701092,-1.9309387163702572
739,Alfa Semedo,SL Benfica,2018/2019,-1.805547935121776,2.29,8.275848063479456,5.4036,7.04778,3.0969019732428844,9.097070337212337,7.794726121175074,6.730753385451576,6.584240074786936,5.985848063479457,3.1136,4.75778,0.8069019732428844,6.807070337212335
740,Fabio Quagliarella,Torino FC,2014/2015,0.8795572285336056,3.15,3.5732403320125115,5.629999999999999,7.786853333333338,0.08885163620362617,5.716877660195182,5.367796594741171,4.2143237078962725,4.559164592348932,0.423240332012512,2.479999999999999,4.636853333333336,-3.0611483637963737,2.5668776601951824
741,Kenneth Paal,PEC Zwolle,2019/2020,-1.317346996275343,0.315,0.0,1.8652,3.7832799999999986,5.171133334462716,0.8611312319939854,0.4821888064754576,1.3950694932137286,2.33614891329134,-0.315,1.5502000000000002,3.4682799999999987,4.856133334462715,0.5461312319939855
742,Danny Ings,Liverpool FC,2015/2016,-1.317346996275343,7.47,12.089306930052276,4.047,11.791513333333327,13.233100897656794,8.124289840158651,7.910827372883062,8.696342649675245,9.857042200240212,4.619306930052276,-3.423,4.321513333333328,5.763100897656792,0.6542898401586514
743,Iliass Bel Hassani,AZ Alkmaar,2016/2017,-1.0732465268521263,1.22,4.381629653931119,2.8203333333333327,2.9889899999999976,0.0839560606678037,1.6886928789824227,1.8393865444332904,1.733126920306577,2.392720385382935,3.1616296539311195,1.6003333333333327,1.7689899999999976,-1.1360439393321964,0.4686928789824227
744,George Boyd,Burnley FC,2014/2015,0.14725582026395612,3.42,0.0,2.9317333333333333,3.2035999999999976,1.3351238850196143,1.2448519085447836,0.991314129507578,1.086445255057118,1.7430618253795458,-3.42,-0.4882666666666666,-0.2164000000000024,-2.0848761149803856,-2.1751480914552164
745,Kevin Trapp,Paris Saint-Germain,2015/2016,-0.5850455880056934,8.55,15.469179122314506,7.805999999999999,7.349793333333343,7.616459312683362,7.244113759910038,8.89587834652887,8.146168745215709,9.097109105648249,6.919179122314503,-0.7440000000000015,-1.2002066666666575,-0.933540687316638,-1.305886240089964
746,Patrick Roberts,Cardiff City,2015/2016,-2.2937488739682093,6.48,0.839922817979432,4.196000000000001,6.639046666666665,3.4236176693049885,2.2127294375172326,2.454553985708249,2.6118101320916463,3.462263318293664,-5.640077182020567,-2.2840000000000007,0.159046666666665,-3.0563823306950124,-4.267270562482769
747,Josip Drmic,Bayern Munich,2015/2016,-1.317346996275343,9.0,14.828722706719278,8.582666666666665,10.083706666666675,15.323493774816368,14.895107054162064,13.525699786555311,14.346750994313547,12.742739373806211,5.828722706719277,-0.4173333333333353,1.0837066666666768,6.3234937748163675,5.895107054162063
748,David Button,Brighton & Hove Albion,2018/2019,0.3913562896871726,4.05,1.1355620569174794,3.0450000000000004,2.160006666666666,1.8939469310742811,3.082920156190557,2.1060050860986004,1.637438392626366,2.2634871621697967,-2.9144379430825205,-1.0049999999999994,-1.8899933333333336,-2.156053068925719,-0.9670798438094425
749,Mario Hermoso,Atlético Madrid,2019/2020,-0.8291460574289099,22.5,21.588014647596125,15.783333333333333,12.42166,17.476867520289808,43.39437717435329,32.79668642155751,34.377075995631955,22.132850535114514,-0.9119853524038746,-6.716666666666668,-10.07834,-5.023132479710188,20.894377174353274
750,Raúl Albiol,VVV-Venlo,2019/2020,1.3677581673800387,4.5,7.617489082360216,6.8372666666666655,11.234099999999998,7.101862926820631,5.629855743678423,6.797520364990867,7.13242942359842,7.684114883905186,3.1174890823602164,2.337266666666665,6.734099999999998,2.6018629268206306,1.129855743678423
751,Ander Capa,Charlton Athletic,2018/2019,-0.3409451185824769,2.7,5.923987184708454,4.905333333333333,3.608623333333335,2.958361210950044,7.413714804627941,6.017166662461822,5.9023650452708125,4.9620039733906225,3.2239871847084554,2.205333333333333,0.9086233333333348,0.2583612109500435,4.713714804627941
752,Marco Bizot,Genoa CFC,2014/2015,-1.0732465268521263,1.35,3.3461232532656253,3.672,2.183766666666667,2.846853999523875,1.4638379557457857,1.8287357514762548,2.5480020361168,2.7025163750403904,1.9961232532656248,2.322,0.833766666666667,1.4968539995238752,0.1138379557457856
753,Kristoffer Peterson,Swansea City,2019/2020,-0.8291460574289099,0.495,7.27049314363754,1.9740000000000004,6.5594066666666615,2.8938400844524272,2.0969363186272933,2.5558434920612823,2.9103542432619585,4.158935242676785,6.77549314363754,1.4790000000000003,6.0644066666666605,2.3988400844524267,1.6019363186272932
754,Petr Cech,Arsenal FC,2015/2016,1.3677581673800387,12.6,13.252989942021976,9.576,12.435703333333331,9.926782957568461,11.192553606381422,11.825046709421384,12.612191807092547,11.276805967861039,0.6529899420219749,-3.0239999999999987,-0.16429666666667053,-2.6732170424315385,-1.407446393618578
755,Ervin Zukanovic,AS Roma,2016/2017,0.3913562896871726,2.52,1.7763354357927843,5.2254,3.9488166666666658,3.4681737705438884,1.693143865376782,2.4562312816296354,2.6384892504472925,3.2223739476760245,-0.7436645642072155,2.7054,1.4288166666666655,0.948173770543888,-0.8268561346232179
756,Thomas Delaney,Borussia Dortmund,2018/2019,-0.3409451185824769,18.0,14.681362963675046,17.67,16.26638666666667,12.534501729149087,9.841159542285293,14.724226902059845,15.235890089015289,14.19868218035522,-3.3186370363249527,-0.3299999999999983,-1.7336133333333308,-5.465498270850917,-8.158840457714707
757,Marco Benassi,ACF Fiorentina,2017/2018,-1.317346996275343,10.8,17.055568536315345,12.075333333333333,13.630436666666672,19.311938444052156,9.914589700322253,12.87534287489696,14.70636234154212,14.397573336137947,6.2555685363153435,1.2753333333333323,2.830436666666672,8.511938444052152,-0.8854102996777495
758,Geoffrey Kondogbia,VVV-Venlo,2018/2019,-0.5850455880056934,19.8,25.628315297688328,13.743333333333334,18.465816666666672,25.195195602305173,19.868827874625747,20.688856343369405,22.650801770294,20.58029775492385,5.828315297688332,-6.056666666666665,-1.3341833333333322,5.395195602305171,0.06882787462574314
759,David Nugent,Middlesbrough FC,2015/2016,0.6354567591103891,5.04,0.0,3.6376666666666666,3.1924366666666653,1.9224031728657485,6.678959010904144,4.175144435599798,3.5175479731715797,3.086293103420645,-5.04,-1.4023333333333334,-1.8475633333333352,-3.117596827134252,1.638959010904145
760,Eric Bailly,Manchester United,2016/2017,-1.317346996275343,34.2,21.296319099352047,12.972000000000001,16.702016666666665,17.203542956859728,12.369021399980452,15.45238642064043,16.930489966907597,16.10858002457178,-12.903680900647963,-21.228,-17.497983333333334,-16.996457043140275,-21.83097860001955
761,Callum Wilson,Newcastle United,2020/2021,0.14725582026395612,20.03,22.43624451558886,6.714,23.411249999999992,30.26313469775249,24.476916125595423,20.555112154719094,20.190390439138678,21.460309067787357,2.40624451558886,-13.316000000000004,3.3812499999999908,10.233134697752494,4.446916125595418
762,Rémy Cabella,Newcastle United,2014/2015,-0.8291460574289099,9.0,14.501589107488934,10.503333333333334,7.543516666666663,11.143353776550503,7.385851240807762,9.88150875465894,10.325129529646869,10.21552882496944,5.501589107488936,1.503333333333334,-1.4564833333333382,2.143353776550505,-1.614148759192238
763,Robert Huth,Leicester City,2015/2016,0.6354567591103891,3.78,4.561592647439866,3.6963333333333335,9.44319,-0.3843667411806909,4.6746363174779315,4.391164185937969,3.3274413540580428,4.398277111414088,0.7815926474398665,-0.08366666666666632,5.663190000000002,-4.1643667411806895,0.8946363174779308
764,Adrien Silva,Leicester City,2017/2018,0.14725582026395612,22.5,18.920182952734226,21.078000000000003,26.805866666666645,24.924650441702155,14.491349001603995,20.26242676892,20.99989402657139,21.244009812541407,-3.5798170472657773,-1.4220000000000006,4.3058666666666445,2.4246504417021555,-8.008650998396005
765,Daniel Carriço,Sevilla FC,2014/2015,-0.5850455880056934,1.62,1.9304284924634827,4.063999999999999,4.004636666666667,-0.6885758389225948,1.731841141842492,2.0294485133061047,2.037988481157329,2.208466092410009,0.3104284924634826,2.443999999999999,2.3846366666666667,-2.3085758389225948,0.11184114184249183
